pathwayname,genelist,genecount
Prolonged ERK activation events,"['BRAF', 'CRK', 'CRKL', 'RAPGEF1', 'NGF', 'NTRK1', 'MAPK1', 'MAPK3', 'MAP2K1', 'MAP2K2', 'RAP1A', 'YWHAB', 'FRS2', 'KIDINS220']",14
Frs2-mediated activation,"['BRAF', 'CRKL', 'RAPGEF1', 'NGF', 'MAPK1', 'MAPK3', 'MAP2K1', 'MAP2K2', 'RAP1A', 'YWHAB', 'FRS2']",11
Nuclear Events (kinase and transcription factor activation),"['ASCL1', 'ATF1', 'CDK5', 'CHD4', 'CREB1', 'DNM2', 'DUSP3', 'EGR1', 'EGR2', 'ELK1', 'EP300', 'F3', 'LYL1', 'MEF2D', 'NAB2', 'PPP2R5D', 'MAPK1', 'MAPK3', 'MAPK7', 'REST', 'RRAD', 'SGK1', 'SH3GL3', 'SRF', 'TCF12', 'TPH1', 'VGF', 'CDK5R1', 'RPS6KA5', 'MAPKAPK2', 'TRIB1', 'ARC', 'VRK3']",33
ERK/MAPK targets,"['DUSP3', 'ELK1', 'PPP2R5D', 'MAPK1', 'MAPK3', 'MAPK7', 'RPS6KA5', 'VRK3']",8
ERKs are inactivated,"['DUSP3', 'PPP2R5D', 'MAPK1', 'MAPK3', 'MAPK7', 'VRK3']",6
Signaling by NTRK3 (TRKC),"['BAX', 'IRS1', 'NTF3', 'NTRK3', 'PIK3CA', 'PIK3R1', 'PLCG1', 'SOS1', 'SRC', 'NELFB']",10
NTRK3 as a dependence receptor,"['BAX', 'NTRK3', 'NELFB']",3
Signaling by VEGF,"['AAMP', 'AKT1', 'RHOA', 'AXL', 'CALM3', 'CAV1', 'CDC42', 'CDH5', 'CRK', 'CTNNA1', 'CTNND1', 'CYBA', 'CYBB', 'DOCK1', 'PTK2B', 'VEGFD', 'FLT1', 'FLT4', 'MTOR', 'FYN', 'NCKAP1L', 'HSPB1', 'HSP90AA1', 'ITGAV', 'ITGB3', 'KDR', 'NCF2', 'NCF4', 'NOS3', 'PAK1', 'PAK2', 'PAK3', 'PDPK1', 'PGF', 'PLCG1', 'PTK2', 'PXN', 'RAC1', 'RASA1', 'SHB', 'VEGFA', 'VEGFB', 'VEGFC', 'NRP2', 'NRP1', 'SPHK1', 'SH2D2A', 'BCAR1', 'BAIAP2', 'AHCYL1', 'NCKAP1', 'SHC2', 'PRR5', 'BRK1', 'MLST8', 'MAPKAP1', 'RICTOR', 'NCF1']",58
VEGFA-VEGFR2 Pathway,"['AKT1', 'RHOA', 'AXL', 'CALM3', 'CAV1', 'CDC42', 'CDH5', 'CRK', 'CTNNA1', 'CTNND1', 'CYBA', 'CYBB', 'DOCK1', 'PTK2B', 'MTOR', 'FYN', 'NCKAP1L', 'HSPB1', 'HSP90AA1', 'ITGAV', 'ITGB3', 'KDR', 'NCF2', 'NCF4', 'NOS3', 'PAK1', 'PAK2', 'PAK3', 'PDPK1', 'PLCG1', 'PTK2', 'PXN', 'RAC1', 'RASA1', 'SHB', 'SPHK1', 'SH2D2A', 'BCAR1', 'BAIAP2', 'AHCYL1', 'NCKAP1', 'SHC2', 'PRR5', 'BRK1', 'MLST8', 'MAPKAP1', 'RICTOR', 'NCF1']",48
VEGFR2 mediated vascular permeability,"['AKT1', 'CALM3', 'CAV1', 'CDH5', 'CTNNA1', 'CTNND1', 'MTOR', 'HSP90AA1', 'NOS3', 'PAK1', 'PAK2', 'PAK3', 'PDPK1', 'RAC1', 'PRR5', 'MLST8', 'MAPKAP1', 'RICTOR']",18
Signaling by ERBB4,"['APOE', 'CSN2', 'DLG4', 'EGF', 'EGFR', 'ESR1', 'GFAP', 'STMN1', 'NEDD4', 'PGR', 'PIK3CA', 'PIK3R1', 'S100B', 'CXCL12', 'SHC1', 'SOS1', 'SPARC', 'SRC', 'STAT5A', 'ADAM17', 'NCOR1', 'YAP1', 'MXD4', 'ADAP1', 'TAB2', 'NCSTN', 'WWOX', 'PSENEN']",28
Downregulation of ERBB4 signaling,"['NEDD4', 'SRC']",2
Signaling by TGF-beta family members,"['ACVR1B', 'ACVRL1', 'PARP1', 'AMH', 'AMHR2', 'RHOA', 'BMP2', 'CBL', 'CCNC', 'CDK8', 'CDK9', 'CDKN2B', 'FKBP1A', 'GDF2', 'HDAC1', 'INHBA', 'INHBB', 'JUNB', 'SMAD2', 'SMAD3', 'SMAD4', 'SMAD7', 'MEN1', 'MYC', 'NEDD8', 'FURIN', 'SERPINE1', 'PPM1A', 'PRKCZ', 'RBL1', 'SKI', 'SP1', 'TGFB1', 'TGFBR1', 'TGFBR2', 'XPO1', 'USP9X', 'FOXH1', 'UBE2M', 'MTMR4', 'ZFYVE16', 'FSTL3', 'STUB1', 'FST', 'DRAP1', 'STRAP', 'SNW1', 'NEDD4L', 'ARHGEF18', 'ATP1B4', 'PPP1R15A', 'BAMBI', 'WWTR1', 'BMP10', 'F11R', 'PARD6A', 'TRIM33', 'RNF111', 'PARD3', 'PMEPA1', 'SMURF1', 'CGN', 'SMURF2', 'ACVR1C']",64
Signaling by TGF-beta Receptor Complex,"['PARP1', 'RHOA', 'CBL', 'CCNC', 'CDK8', 'CDK9', 'CDKN2B', 'FKBP1A', 'HDAC1', 'JUNB', 'SMAD2', 'SMAD3', 'SMAD4', 'SMAD7', 'MEN1', 'MYC', 'NEDD8', 'FURIN', 'SERPINE1', 'PPM1A', 'PRKCZ', 'RBL1', 'SP1', 'TGFB1', 'TGFBR1', 'TGFBR2', 'XPO1', 'USP9X', 'UBE2M', 'MTMR4', 'STUB1', 'STRAP', 'SNW1', 'NEDD4L', 'ARHGEF18', 'ATP1B4', 'PPP1R15A', 'BAMBI', 'WWTR1', 'F11R', 'PARD6A', 'TRIM33', 'RNF111', 'PARD3', 'PMEPA1', 'SMURF1', 'CGN', 'SMURF2']",48
TGF-beta receptor signaling activates SMADs,"['CBL', 'FKBP1A', 'SMAD2', 'SMAD3', 'SMAD4', 'SMAD7', 'NEDD8', 'FURIN', 'TGFB1', 'TGFBR1', 'TGFBR2', 'XPO1', 'UBE2M', 'MTMR4', 'STUB1', 'STRAP', 'NEDD4L', 'PPP1R15A', 'BAMBI', 'PMEPA1', 'SMURF1', 'SMURF2']",22
Downregulation of TGF-beta receptor signaling,"['SMAD2', 'SMAD3', 'SMAD7', 'TGFB1', 'TGFBR1', 'TGFBR2', 'XPO1', 'MTMR4', 'STUB1', 'STRAP', 'NEDD4L', 'PPP1R15A', 'BAMBI', 'PMEPA1', 'SMURF1', 'SMURF2']",16
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),"['RHOA', 'FKBP1A', 'PRKCZ', 'TGFB1', 'TGFBR1', 'TGFBR2', 'ARHGEF18', 'F11R', 'PARD6A', 'PARD3', 'SMURF1', 'CGN']",12
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,"['PARP1', 'CCNC', 'CDK8', 'CDK9', 'CDKN2B', 'HDAC1', 'JUNB', 'SMAD4', 'SMAD7', 'MEN1', 'MYC', 'SERPINE1', 'PPM1A', 'RBL1', 'SP1', 'USP9X', 'SNW1', 'NEDD4L', 'ATP1B4', 'WWTR1', 'TRIM33', 'RNF111', 'SMURF2']",23
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,"['CCNC', 'CDK8', 'CDK9', 'CDKN2B', 'HDAC1', 'JUNB', 'SMAD4', 'SMAD7', 'MEN1', 'MYC', 'SERPINE1', 'RBL1', 'SP1', 'SNW1', 'ATP1B4', 'WWTR1', 'RNF111']",17
Signaling by GPCR,"['ABCA4', 'ADCYAP1R1', 'ADRB1', 'ADRB2', 'ADRB3', 'GRK2', 'AGT', 'AGTR1', 'AGTR2', 'APLNR', 'APOA1', 'APOA2', 'APOB', 'APOC2', 'APOC3', 'APOE', 'RHOA', 'AVP', 'AVPR2', 'OPN1SW', 'CXCR5', 'BTK', 'C3', 'C3AR1', 'C5', 'C5AR1', 'CALCA', 'CALCR', 'CALM3', 'CAMK4', 'CAMK2B', 'CAMK2G', 'CASR', 'CCK', 'CCKBR', 'ADGRE5', 'CDC42', 'CDK5', 'CGA', 'CLPS', 'CCR6', 'CCR7', 'CCR8', 'ACKR2', 'CMKLR1', 'CNGB1', 'CNGA1', 'CREB1', 'CRH', 'CRHBP', 'CX3CR1', 'CD55', 'DRD2', 'HBEGF', 'GPR183', 'ECE1', 'EDN1', 'EDN3', 'EGFR', 'F2', 'FNTA', 'FPR1', 'FPR2', 'FPR3', 'FSHB', 'FSHR', 'GAST', 'ACKR1', 'GABBR1', 'GCG', 'GHRH', 'GHRHR', 'GHSR', 'GIP', 'GIPR', 'GLP1R', 'GNA12', 'GNAL', 'GNAT1', 'GNAZ', 'GNB1', 'GNGT1', 'CCR10', 'XCR1', 'CXCR3', 'PRLHR', 'UTS2R', 'GPR17', 'GPR18', 'LPAR4', 'GPER1', 'GPR31', 'GPR35', 'GPR37', 'MLNR', 'GPR39', 'FFAR1', 'FFAR3', 'FFAR2', 'GRK5', 'GUCA1A', 'GUCA1B', 'HCRT', 'HCRTR1', 'HCRTR2', 'HRH1', 'HRH2', 'IAPP', 'CXCL8', 'CXCR1', 'CXCR2', 'INSL3', 'KEL', 'KISS1', 'KNG1', 'KPNA2', 'LDLR', 'LHB', 'LHCGR', 'MC2R', 'MLN', 'MMP3', 'MYO7A', 'NTS', 'GPR143', 'OPRL1', 'OPRM1', 'OXT', 'OXTR', 'P2RY1', 'P2RY2', 'P2RY4', 'P2RY6', 'P2RY11', 'PAK1', 'PDE1A', 'PDE1C', 'PDE4B', 'PDE6A', 'PDE6G', 'PDE1B', 'PDE6B', 'PDPK1', 'PIK3CA', 'PIK3CG', 'PLA2G4A', 'PLXNB1', 'PMCH', 'PNOC', 'PNLIP', 'POMC', 'PPEF1', 'PPP1CA', 'PPP2R5D', 'PPP3R1', 'PRKACA', 'PRKAR2A', 'PRKCA', 'MAPK1', 'MAPK3', 'MAPK7', 'PTAFR', 'PTGDR', 'PTGER1', 'PTGER3', 'PTGFR', 'PTGIR', 'RBP1', 'RBP2', 'RBP3', 'RBP4', 'RCVRN', 'RHO', 'GRK1', 'RLBP1', 'RLN2', 'RPE65', 'SAG', 'SCT', 'SCTR', 'CCL1', 'CCL5', 'CCL13', 'CCL16', 'CCL19', 'CCL20', 'CCL25', 'CX3CL1', 'CXCL12', 'SMO', 'SOS1', 'SRC', 'TAC1', 'TACR2', 'TAC3', 'TACR1', 'TACR3', 'TBXA2R', 'TRHR', 'TSHB', 'TSHR', 'TTR', 'VIP', 'XK', 'NPFF', 'HCAR3', 'CCRL2', 'ARHGEF1', 'SLC24A1', 'LRAT', 'DHRS3', 'GPR37L1', 'GLP2R', 'ARHGEF6', 'GABBR2', 'GUCA1C', 'P2RY14', 'INSL5', 'LPAR6', 'CALCRL', 'RAMP2', 'RAMP1', 'RAMP3', 'CXCL13', 'CXCR6', 'GNA13', 'AHCYL1', 'CCR9', 'NMU', 'METAP2', 'PTGDR2', 'MGLL', 'METAP1', 'ARHGEF12', 'NBEA', 'HCAR1', 'OXGR1', 'C5AR2', 'P2RY10', 'GAL', 'RDH11', 'RXFP3', 'ACKR4', 'BCO1', 'P2RY13', 'RETSAT', 'APOM', 'SUCNR1', 'NMUR2', 'CYSLTR2', 'NLN', 'CXCL16', 'RXFP1', 'STRA6', 'P2RY12', 'CAMKMT', 'TAS1R2', 'TAS1R1', 'TAS1R3', 'BCO2', 'QRFPR', 'KISS1R', 'OPN4', 'RLN3', 'RXFP2', 'GPHB5', 'NMS', 'RDH12', 'PLB1', 'GPBAR1', 'AWAT2', 'OXER1', 'GPHA2', 'NAPEPLD', 'GPRC6A', 'CYP4V2', 'GPIHBP1', 'HCAR2', 'FFAR4', 'RXFP4', 'QRFP', 'NPSR1', 'RGS9BP', 'NPS', 'CHURC1-FNTB', 'OPN1MW3', 'EEF1AKMT4-ECE2']",287
GPCR ligand binding,"['ADCYAP1R1', 'ADRB1', 'ADRB2', 'ADRB3', 'AGT', 'AGTR1', 'AGTR2', 'APLNR', 'AVP', 'AVPR2', 'CXCR5', 'C3', 'C3AR1', 'C5', 'C5AR1', 'CALCA', 'CALCR', 'CASR', 'CCK', 'ADGRE5', 'CGA', 'CCR6', 'CCR7', 'CCR8', 'ACKR2', 'CMKLR1', 'CRH', 'CRHBP', 'CX3CR1', 'CD55', 'DRD2', 'GPR183', 'ECE1', 'EDN1', 'EDN3', 'F2', 'FPR1', 'FPR2', 'FPR3', 'FSHB', 'FSHR', 'ACKR1', 'GABBR1', 'GCG', 'GHRH', 'GHRHR', 'GHSR', 'GIP', 'GIPR', 'GLP1R', 'CCR10', 'XCR1', 'CXCR3', 'PRLHR', 'UTS2R', 'GPR17', 'GPR18', 'LPAR4', 'GPER1', 'GPR31', 'GPR35', 'GPR37', 'MLNR', 'GPR39', 'FFAR1', 'FFAR3', 'FFAR2', 'HCRT', 'HCRTR1', 'HCRTR2', 'HRH1', 'HRH2', 'IAPP', 'CXCL8', 'CXCR1', 'CXCR2', 'INSL3', 'KEL', 'KISS1', 'KNG1', 'LHB', 'LHCGR', 'MC2R', 'MLN', 'NTS', 'GPR143', 'OPRL1', 'OXT', 'OXTR', 'P2RY1', 'P2RY2', 'P2RY4', 'P2RY6', 'P2RY11', 'PMCH', 'PNOC', 'POMC', 'PTAFR', 'PTGDR', 'PTGER1', 'PTGER3', 'PTGFR', 'PTGIR', 'RLN2', 'SCT', 'SCTR', 'CCL1', 'CCL5', 'CCL13', 'CCL16', 'CCL19', 'CCL20', 'CCL25', 'CX3CL1', 'CXCL12', 'SMO', 'TAC1', 'TACR2', 'TAC3', 'TACR1', 'TACR3', 'TBXA2R', 'TRHR', 'TSHB', 'TSHR', 'VIP', 'XK', 'NPFF', 'HCAR3', 'CCRL2', 'GPR37L1', 'GLP2R', 'GABBR2', 'P2RY14', 'INSL5', 'LPAR6', 'CALCRL', 'RAMP2', 'RAMP1', 'RAMP3', 'CXCL13', 'CXCR6', 'CCR9', 'NMU', 'PTGDR2', 'HCAR1', 'OXGR1', 'C5AR2', 'P2RY10', 'GAL', 'RXFP3', 'ACKR4', 'P2RY13', 'SUCNR1', 'NMUR2', 'CYSLTR2', 'NLN', 'CXCL16', 'RXFP1', 'P2RY12', 'TAS1R2', 'TAS1R1', 'TAS1R3', 'QRFPR', 'KISS1R', 'OPN4', 'RLN3', 'RXFP2', 'GPHB5', 'NMS', 'GPBAR1', 'OXER1', 'GPHA2', 'GPRC6A', 'HCAR2', 'FFAR4', 'RXFP4', 'QRFP', 'NPSR1', 'NPS', 'EEF1AKMT4-ECE2']",181
Class A/1 (Rhodopsin-like receptors),"['ADRB1', 'ADRB2', 'ADRB3', 'AGT', 'AGTR1', 'AGTR2', 'APLNR', 'AVP', 'AVPR2', 'CXCR5', 'C3', 'C3AR1', 'C5', 'C5AR1', 'CCK', 'CGA', 'CCR6', 'CCR7', 'CCR8', 'ACKR2', 'CMKLR1', 'CX3CR1', 'DRD2', 'GPR183', 'ECE1', 'EDN1', 'EDN3', 'F2', 'FPR1', 'FPR2', 'FPR3', 'FSHB', 'FSHR', 'ACKR1', 'GHSR', 'CCR10', 'XCR1', 'CXCR3', 'PRLHR', 'UTS2R', 'GPR17', 'GPR18', 'LPAR4', 'GPER1', 'GPR31', 'GPR35', 'GPR37', 'MLNR', 'GPR39', 'FFAR1', 'FFAR3', 'FFAR2', 'HCRT', 'HCRTR1', 'HCRTR2', 'HRH1', 'HRH2', 'CXCL8', 'CXCR1', 'CXCR2', 'INSL3', 'KEL', 'KISS1', 'KNG1', 'LHB', 'LHCGR', 'MC2R', 'MLN', 'NTS', 'GPR143', 'OPRL1', 'OXT', 'OXTR', 'P2RY1', 'P2RY2', 'P2RY4', 'P2RY6', 'P2RY11', 'PMCH', 'PNOC', 'POMC', 'PTAFR', 'PTGDR', 'PTGER1', 'PTGER3', 'PTGFR', 'PTGIR', 'RLN2', 'CCL1', 'CCL5', 'CCL13', 'CCL16', 'CCL19', 'CCL20', 'CCL25', 'CX3CL1', 'CXCL12', 'TAC1', 'TACR2', 'TAC3', 'TACR1', 'TACR3', 'TBXA2R', 'TRHR', 'TSHB', 'TSHR', 'XK', 'NPFF', 'HCAR3', 'CCRL2', 'GPR37L1', 'P2RY14', 'INSL5', 'LPAR6', 'CXCL13', 'CXCR6', 'CCR9', 'NMU', 'PTGDR2', 'HCAR1', 'OXGR1', 'C5AR2', 'P2RY10', 'GAL', 'RXFP3', 'ACKR4', 'P2RY13', 'SUCNR1', 'NMUR2', 'NLN', 'CXCL16', 'RXFP1', 'P2RY12', 'QRFPR', 'KISS1R', 'OPN4', 'RLN3', 'RXFP2', 'GPHB5', 'NMS', 'GPBAR1', 'OXER1', 'GPHA2', 'HCAR2', 'FFAR4', 'RXFP4', 'QRFP', 'NPSR1', 'NPS', 'EEF1AKMT4-ECE2']",150
Peptide ligand-binding receptors,"['AGT', 'AGTR1', 'AGTR2', 'APLNR', 'AVP', 'AVPR2', 'CXCR5', 'C3', 'C3AR1', 'C5', 'C5AR1', 'CCK', 'CCR6', 'CCR7', 'CCR8', 'ACKR2', 'CX3CR1', 'ECE1', 'EDN1', 'EDN3', 'F2', 'FPR1', 'FPR2', 'FPR3', 'ACKR1', 'GHSR', 'CCR10', 'XCR1', 'CXCR3', 'PRLHR', 'UTS2R', 'GPER1', 'GPR37', 'MLNR', 'HCRT', 'HCRTR1', 'HCRTR2', 'CXCL8', 'CXCR1', 'CXCR2', 'INSL3', 'KEL', 'KISS1', 'KNG1', 'MC2R', 'MLN', 'NTS', 'OPRL1', 'OXT', 'OXTR', 'PMCH', 'PNOC', 'POMC', 'RLN2', 'CCL1', 'CCL5', 'CCL13', 'CCL16', 'CCL19', 'CCL20', 'CCL25', 'CX3CL1', 'CXCL12', 'TAC1', 'TACR2', 'TAC3', 'TACR1', 'TACR3', 'TRHR', 'XK', 'NPFF', 'CCRL2', 'GPR37L1', 'INSL5', 'CXCL13', 'CXCR6', 'CCR9', 'NMU', 'C5AR2', 'GAL', 'RXFP3', 'ACKR4', 'NMUR2', 'NLN', 'CXCL16', 'RXFP1', 'QRFPR', 'KISS1R', 'RLN3', 'RXFP2', 'NMS', 'RXFP4', 'QRFP', 'NPSR1', 'NPS', 'EEF1AKMT4-ECE2']",96
GPCR downstream signalling,"['ABCA4', 'ADRB2', 'GRK2', 'AGT', 'AGTR1', 'AGTR2', 'APLNR', 'APOA1', 'APOA2', 'APOB', 'APOC2', 'APOC3', 'APOE', 'RHOA', 'AVP', 'OPN1SW', 'CXCR5', 'BTK', 'C3', 'C3AR1', 'C5', 'C5AR1', 'CALM3', 'CAMK4', 'CAMK2B', 'CAMK2G', 'CASR', 'CCK', 'CCKBR', 'CDC42', 'CDK5', 'CLPS', 'CCR6', 'CCR7', 'CCR8', 'CNGB1', 'CNGA1', 'CREB1', 'CX3CR1', 'HBEGF', 'GPR183', 'EGFR', 'FNTA', 'FPR1', 'FPR2', 'FPR3', 'GAST', 'GCG', 'GHSR', 'GNA12', 'GNAL', 'GNAT1', 'GNAZ', 'GNB1', 'GNGT1', 'CCR10', 'XCR1', 'CXCR3', 'UTS2R', 'GPR17', 'GPR18', 'LPAR4', 'GPER1', 'GPR31', 'GPR37', 'MLNR', 'GPR39', 'FFAR1', 'FFAR3', 'FFAR2', 'GRK5', 'GUCA1A', 'GUCA1B', 'HCRT', 'HCRTR1', 'HCRTR2', 'HRH1', 'CXCR1', 'CXCR2', 'KISS1', 'KNG1', 'KPNA2', 'LDLR', 'MLN', 'MMP3', 'MYO7A', 'NTS', 'GPR143', 'OPRL1', 'OPRM1', 'OXT', 'OXTR', 'P2RY1', 'P2RY2', 'P2RY4', 'P2RY6', 'P2RY11', 'PAK1', 'PDE1A', 'PDE1C', 'PDE4B', 'PDE6A', 'PDE6G', 'PDE1B', 'PDE6B', 'PDPK1', 'PIK3CA', 'PIK3CG', 'PLA2G4A', 'PLXNB1', 'PMCH', 'PNOC', 'PNLIP', 'PPEF1', 'PPP1CA', 'PPP2R5D', 'PPP3R1', 'PRKACA', 'PRKAR2A', 'PRKCA', 'MAPK1', 'MAPK3', 'MAPK7', 'PTAFR', 'PTGER1', 'PTGER3', 'PTGFR', 'RBP1', 'RBP2', 'RBP3', 'RBP4', 'RCVRN', 'RHO', 'GRK1', 'RLBP1', 'RPE65', 'SAG', 'CCL1', 'CCL5', 'CCL13', 'CCL16', 'CCL20', 'CCL25', 'CX3CL1', 'CXCL12', 'SOS1', 'SRC', 'TAC1', 'TACR2', 'TAC3', 'TACR1', 'TACR3', 'TBXA2R', 'TRHR', 'TTR', 'NPFF', 'HCAR3', 'ARHGEF1', 'SLC24A1', 'LRAT', 'DHRS3', 'GPR37L1', 'ARHGEF6', 'GUCA1C', 'P2RY14', 'LPAR6', 'CXCL13', 'CXCR6', 'GNA13', 'AHCYL1', 'CCR9', 'NMU', 'METAP2', 'PTGDR2', 'MGLL', 'METAP1', 'ARHGEF12', 'NBEA', 'HCAR1', 'OXGR1', 'P2RY10', 'GAL', 'RDH11', 'RXFP3', 'BCO1', 'P2RY13', 'RETSAT', 'APOM', 'SUCNR1', 'NMUR2', 'CYSLTR2', 'CXCL16', 'STRA6', 'P2RY12', 'CAMKMT', 'BCO2', 'QRFPR', 'KISS1R', 'OPN4', 'NMS', 'RDH12', 'PLB1', 'AWAT2', 'OXER1', 'NAPEPLD', 'GPRC6A', 'CYP4V2', 'GPIHBP1', 'HCAR2', 'FFAR4', 'RXFP4', 'QRFP', 'NPSR1', 'RGS9BP', 'NPS', 'CHURC1-FNTB', 'OPN1MW3']",217
G alpha (i) signalling events,"['ABCA4', 'GRK2', 'AGT', 'AGTR2', 'APLNR', 'APOA1', 'APOA2', 'APOB', 'APOC2', 'APOC3', 'APOE', 'OPN1SW', 'CXCR5', 'C3', 'C3AR1', 'C5', 'C5AR1', 'CALM3', 'CAMK4', 'CAMK2B', 'CAMK2G', 'CASR', 'CDK5', 'CLPS', 'CCR6', 'CCR7', 'CCR8', 'CNGB1', 'CNGA1', 'CREB1', 'CX3CR1', 'GPR183', 'FNTA', 'FPR1', 'FPR2', 'FPR3', 'GNAL', 'GNAT1', 'GNAZ', 'GNB1', 'GNGT1', 'CCR10', 'CXCR3', 'GPR17', 'GPR18', 'GPER1', 'GPR31', 'GPR37', 'GUCA1A', 'GUCA1B', 'CXCR1', 'CXCR2', 'KNG1', 'KPNA2', 'LDLR', 'MYO7A', 'OPRL1', 'OPRM1', 'P2RY4', 'PDE1A', 'PDE1C', 'PDE4B', 'PDE6A', 'PDE6G', 'PDE1B', 'PDE6B', 'PLA2G4A', 'PMCH', 'PNOC', 'PNLIP', 'PPEF1', 'PPP1CA', 'PPP2R5D', 'PPP3R1', 'PRKACA', 'PRKAR2A', 'MAPK1', 'PTGER3', 'RBP1', 'RBP2', 'RBP3', 'RBP4', 'RCVRN', 'RHO', 'GRK1', 'RLBP1', 'RPE65', 'SAG', 'CCL1', 'CCL5', 'CCL13', 'CCL16', 'CCL20', 'CCL25', 'CX3CL1', 'CXCL12', 'SRC', 'TTR', 'HCAR3', 'SLC24A1', 'LRAT', 'DHRS3', 'GPR37L1', 'GUCA1C', 'P2RY14', 'CXCL13', 'CXCR6', 'AHCYL1', 'CCR9', 'NMU', 'METAP2', 'PTGDR2', 'METAP1', 'NBEA', 'HCAR1', 'OXGR1', 'GAL', 'RDH11', 'RXFP3', 'BCO1', 'P2RY13', 'RETSAT', 'APOM', 'SUCNR1', 'NMUR2', 'CXCL16', 'STRA6', 'P2RY12', 'CAMKMT', 'BCO2', 'NMS', 'RDH12', 'PLB1', 'AWAT2', 'OXER1', 'NAPEPLD', 'CYP4V2', 'GPIHBP1', 'HCAR2', 'RXFP4', 'RGS9BP', 'CHURC1-FNTB', 'OPN1MW3']",143
Opioid Signalling,"['GRK2', 'CALM3', 'CAMK4', 'CAMK2B', 'CAMK2G', 'CDK5', 'CREB1', 'GNAL', 'KPNA2', 'OPRM1', 'PDE1A', 'PDE1C', 'PDE4B', 'PDE1B', 'PLA2G4A', 'PPP1CA', 'PPP2R5D', 'PPP3R1', 'PRKACA', 'PRKAR2A', 'MAPK1', 'AHCYL1', 'NBEA']",23
G-protein mediated events,"['GRK2', 'CALM3', 'CAMK4', 'CAMK2B', 'CAMK2G', 'CREB1', 'GNAL', 'KPNA2', 'PDE1A', 'PDE1C', 'PDE1B', 'PLA2G4A', 'PRKAR2A', 'MAPK1', 'AHCYL1', 'NBEA']",16
PLC beta mediated events,"['GRK2', 'CALM3', 'CAMK4', 'CAMK2B', 'CAMK2G', 'CREB1', 'KPNA2', 'PDE1A', 'PDE1C', 'PDE1B', 'PLA2G4A', 'PRKAR2A', 'MAPK1', 'AHCYL1', 'NBEA']",15
Ca-dependent events,"['GRK2', 'CALM3', 'CAMK4', 'CAMK2B', 'CAMK2G', 'CREB1', 'KPNA2', 'PDE1A', 'PDE1C', 'PDE1B', 'PLA2G4A', 'PRKAR2A', 'MAPK1', 'NBEA']",14
phospho-PLA2 pathway,"['PLA2G4A', 'MAPK1']",2
DARPP-32 events,"['CALM3', 'CDK5', 'PDE4B', 'PPP1CA', 'PPP2R5D', 'PPP3R1', 'PRKACA']",7
G alpha (q) signalling events,"['GRK2', 'AGT', 'AGTR1', 'AVP', 'BTK', 'CASR', 'CCK', 'CCKBR', 'CREB1', 'HBEGF', 'EGFR', 'FPR2', 'GAST', 'GCG', 'GHSR', 'XCR1', 'UTS2R', 'GPR17', 'LPAR4', 'MLNR', 'GPR39', 'FFAR1', 'FFAR3', 'FFAR2', 'GRK5', 'HCRT', 'HCRTR1', 'HCRTR2', 'HRH1', 'KISS1', 'KNG1', 'MLN', 'MMP3', 'NTS', 'GPR143', 'OXT', 'OXTR', 'P2RY1', 'P2RY2', 'P2RY6', 'P2RY11', 'PIK3CA', 'PMCH', 'PRKCA', 'MAPK1', 'MAPK3', 'MAPK7', 'PTAFR', 'PTGER1', 'PTGFR', 'SOS1', 'TAC1', 'TACR2', 'TAC3', 'TACR1', 'TACR3', 'TBXA2R', 'TRHR', 'NPFF', 'LPAR6', 'NMU', 'MGLL', 'P2RY10', 'NMUR2', 'CYSLTR2', 'QRFPR', 'KISS1R', 'OPN4', 'NMS', 'GPRC6A', 'FFAR4', 'QRFP', 'NPSR1', 'NPS']",74
Gastrin-CREB signalling pathway via PKC and MAPK,"['CCKBR', 'CREB1', 'HBEGF', 'EGFR', 'GAST', 'MMP3', 'PRKCA', 'MAPK1', 'MAPK3', 'MAPK7', 'SOS1']",11
